shipment_identifier,product,on_time,1
449263b4-6c93-4f19-8b6a-0d99a29fc637,pants,false,3
449263b4-6c93-4f19-8b6a-0d99a29fc637,keyboards,false,2
76e5b84a-9d09-4efb-8b43-a0c932b958bb,baby food,false,1
b541a47d-89b1-4805-97d0-1988832321f1,paint,false,3
b541a47d-89b1-4805-97d0-1988832321f1,water bottles,false,2
3fc6b63d-27b4-408c-b3b3-e8e94a45b079,journals,true,1
3fc6b63d-27b4-408c-b3b3-e8e94a45b079,lotion,true,4
3fc6b63d-27b4-408c-b3b3-e8e94a45b079,keyboards,true,4
491ee4e8-be80-4f52-802b-d8fe1a6bd487,lotion,true,3
491ee4e8-be80-4f52-802b-d8fe1a6bd487,keys,true,3
22768e96-0dad-40d2-8204-3921263c3826,lamps,false,3
22768e96-0dad-40d2-8204-3921263c3826,hydroponic equipment,false,1
22768e96-0dad-40d2-8204-3921263c3826,balloons,false,2
f20bbd93-1312-4f70-b257-654056412ec5,incense,true,3
f20bbd93-1312-4f70-b257-654056412ec5,apples,true,1
f20bbd93-1312-4f70-b257-654056412ec5,candy,true,4
192cc6dc-4799-4247-a228-6d198675c00b,eggs,true,2
192cc6dc-4799-4247-a228-6d198675c00b,trampolines,true,2
192cc6dc-4799-4247-a228-6d198675c00b,textbooks,true,4
e31e22c1-5395-43d8-8a0a-79396d627f66,capes,false,1
e31e22c1-5395-43d8-8a0a-79396d627f66,pants,false,2
e31e22c1-5395-43d8-8a0a-79396d627f66,water bottles,false,4
6060c04b-921b-4bf9-b2d3-40e57257e5c6,earplugs,false,2
d2306016-fe82-41f8-a8e1-b06812007036,baby food,false,2
d2306016-fe82-41f8-a8e1-b06812007036,socks,false,1
d2306016-fe82-41f8-a8e1-b06812007036,lamps,false,2
3433af6d-4857-4dfa-88d6-5dcd2a2fce6b,carnivorous plants,false,1
2fcf115d-068f-4a65-b443-2c5c6fe33fe0,textbooks,false,4
2fcf115d-068f-4a65-b443-2c5c6fe33fe0,yarn,false,3
2fcf115d-068f-4a65-b443-2c5c6fe33fe0,carnivorous plants,false,1
a39dad1a-4b34-4f50-879e-08bec70d2b36,toys,false,3
a39dad1a-4b34-4f50-879e-08bec70d2b36,eggs,false,3
4fc4c56e-9e44-432a-9d1c-4219271a7844,snakes,true,2
4fc4c56e-9e44-432a-9d1c-4219271a7844,apples,true,3
c9cf4b47-8a85-488d-b33f-d1f921552ea0,yarn,true,2
2b0bddcd-d73c-4ba6-b26e-aaa785d50be7,pants,true,1
2b0bddcd-d73c-4ba6-b26e-aaa785d50be7,pencils,true,4
36117159-bb83-4b02-b1d0-07f68fe03be6,pants,true,5
36117159-bb83-4b02-b1d0-07f68fe03be6,baby food,true,3
c2237ca1-b7e3-40ab-b798-e1ea469301dc,socks,true,4
c2237ca1-b7e3-40ab-b798-e1ea469301dc,alternators,true,1
c2237ca1-b7e3-40ab-b798-e1ea469301dc,keyboards,true,4
cfa8a834-54bd-4f47-99ca-8912df32913b,animal masks,false,1
cfa8a834-54bd-4f47-99ca-8912df32913b,furniture,false,3
